model_seed,method,mean_heldout_accuracy,final_trained_accuracy,router_parameters,mean_forgetting
0,r0_mlp,0.5661458333333335,0.6378125,4740,0.0006250000000000089
0,r1_linear,0.5567708333333333,0.6256250000000001,20,0.0009375000000000022
0,r2_prototype_energy,0.5377604166666666,0.6065625,24,0.0006250000000000089
0,r3_hybrid_energy,0.5499999999999999,0.60375,42,0.00031249999999999334
0,r4_smooth_residual,0.5583333333333333,0.624375,141,0.0
0,r5_smooth_residual_continuity,0.5510416666666667,0.6218750000000001,141,0.0
1,r0_mlp,0.5575520833333333,0.618125,4740,0.003125
1,r1_linear,0.55078125,0.6153124999999999,20,0.0
1,r2_prototype_energy,0.54453125,0.614375,24,0.0
1,r3_hybrid_energy,0.5549479166666667,0.6200000000000001,42,0.0009374999999999911
1,r4_smooth_residual,0.5544270833333332,0.6134375,141,0.0006250000000000034
1,r5_smooth_residual_continuity,0.55703125,0.6190625000000001,141,0.0
2,r0_mlp,0.58046875,0.6403125,4740,0.0009375000000000133
2,r1_linear,0.5710937500000001,0.6340625,20,0.0006249999999999977
2,r2_prototype_energy,0.57265625,0.6268750000000001,24,0.0009375000000000022
2,r3_hybrid_energy,0.5700520833333333,0.6221875,42,0.00031249999999999334
2,r4_smooth_residual,0.5669270833333333,0.6278124999999999,141,0.0003124999999999822
2,r5_smooth_residual_continuity,0.5669270833333333,0.6328125,141,0.0009375000000000022
3,r0_mlp,0.5723958333333333,0.635,4740,0.003749999999999987
3,r1_linear,0.5632812500000001,0.62375,20,0.00031250000000000445
3,r2_prototype_energy,0.5635416666666667,0.6287499999999999,24,0.0006250000000000089
3,r3_hybrid_energy,0.565625,0.61875,42,0.0012499999999999955
3,r4_smooth_residual,0.5682291666666667,0.6290625000000001,141,0.0006249999999999867
3,r5_smooth_residual_continuity,0.5619791666666667,0.628125,141,0.00031250000000000445
4,r0_mlp,0.578125,0.6453125,4740,0.0015625
4,r1_linear,0.5635416666666666,0.625,20,0.0006249999999999977
4,r2_prototype_energy,0.5510416666666665,0.61625,24,0.00031250000000000445
4,r3_hybrid_energy,0.5625,0.6125,42,0.0
4,r4_smooth_residual,0.5752604166666667,0.634375,141,0.0006250000000000089
4,r5_smooth_residual_continuity,0.5695312499999999,0.6300000000000001,141,0.00031249999999999334
