model_seed,method,partition,metric,mean,q90,q95,q99,max,pairs
0,r0_mlp,heldout_dense,functional,0.09047185426048276,0.1759248673915863,0.19994813576340675,0.2461777022480962,0.33307555317878723,3200
0,r0_mlp,heldout_dense,nominal,0.10482476565259276,0.15472249686717987,0.16800604313611975,0.18804990023374551,0.22538398206233978,3200
0,r0_mlp,trained,functional,0.08939827848532789,0.1759912773966789,0.20303061231970784,0.2548883184790608,0.30589017271995544,2560
0,r0_mlp,trained,nominal,0.10506379345388268,0.15576748698949813,0.1718917161226271,0.19291948571801176,0.2216559201478958,2560
0,r1_linear,heldout_dense,functional,0.16187902992345818,0.3293235838413239,0.36488729566335665,0.4023768812417984,0.433186799287796,3200
0,r1_linear,heldout_dense,nominal,0.1468738861690508,0.24607750475406645,0.2727179288864135,0.29998689770698544,0.3138402998447418,3200
0,r1_linear,trained,functional,0.15354978369842595,0.3192784905433655,0.3526514783501625,0.3986470934748649,0.42652252316474915,2560
0,r1_linear,trained,nominal,0.14152600639263255,0.2365136846899986,0.25761677175760256,0.2935022443532943,0.31085360050201416,2560
0,r2_prototype_energy,heldout_dense,functional,1.0203523659260545,1.6171120285987852,1.8048804283142081,2.168168563842773,2.874842643737793,3200
0,r2_prototype_energy,heldout_dense,nominal,0.881346551241586,1.1923317313194273,1.275074154138565,1.4507560443878165,1.782935619354248,3200
0,r2_prototype_energy,trained,functional,1.021079013500651,1.6091920137405396,1.8094309926033019,2.125094170570372,2.841764450073242,2560
0,r2_prototype_energy,trained,nominal,0.8849002693787043,1.195729398727417,1.2729761242866515,1.427631530761718,1.7516875267028809,2560
0,r3_hybrid_energy,heldout_dense,functional,1.135176477062509,1.8328912496566772,2.0247373223304748,2.3883075428009017,3.197197198867798,3200
0,r3_hybrid_energy,heldout_dense,nominal,1.0017430140735815,1.413775587081909,1.5392532885074615,1.8079398787021612,2.3331220149993896,3200
0,r3_hybrid_energy,trained,functional,1.1522529133633794,1.8365437269210816,2.034665608406066,2.3419068622589103,3.167907953262329,2560
0,r3_hybrid_energy,trained,nominal,1.0092621003863314,1.4155280590057373,1.5337356150150283,1.7696867084503172,2.3051984310150146,2560
1,r0_mlp,heldout_dense,functional,0.19979342740089195,0.3787577539682388,0.4049250170588493,0.4341738572716713,0.4534491300582886,3200
1,r0_mlp,heldout_dense,nominal,0.18112760135671124,0.30716519355773925,0.3241978824138641,0.34454507410526275,0.35686248540878296,3200
1,r0_mlp,trained,functional,0.19929545334016363,0.3817419171333313,0.4029541313648224,0.43013805747032163,0.45401692390441895,2560
1,r0_mlp,trained,nominal,0.18187594660430478,0.308492237329483,0.3225242033600807,0.34039199680089943,0.3588148355484009,2560
1,r1_linear,heldout_dense,functional,0.14205205094342743,0.25770737528800963,0.27414013147354127,0.29371175050735465,0.3058338165283203,3200
1,r1_linear,heldout_dense,nominal,0.13749988604831742,0.1969105616211891,0.20689979568123815,0.21679295912384985,0.22289222478866577,3200
1,r1_linear,trained,functional,0.14249014056857984,0.25710550546646116,0.2738021403551101,0.29011105179786684,0.3040795922279358,2560
1,r1_linear,trained,nominal,0.13806158871448132,0.19680693447589873,0.20566807016730304,0.21386795714497564,0.2221544235944748,2560
1,r2_prototype_energy,heldout_dense,functional,0.8929748696503381,1.4625003695487975,1.6170401990413665,1.9509729456901546,2.192275047302246,3200
1,r2_prototype_energy,heldout_dense,nominal,0.8052250052941963,1.1808926701545714,1.2610822021961212,1.450872949361801,1.7341150045394897,3200
1,r2_prototype_energy,trained,functional,0.889763215603466,1.4707484126091004,1.6332211077213272,1.9239452672004698,2.3907384872436523,2560
1,r2_prototype_energy,trained,nominal,0.8020944083371433,1.185064661502838,1.272031283378601,1.4248294150829308,1.8423351049423218,2560
1,r3_hybrid_energy,heldout_dense,functional,1.002837638727693,1.6848395586013794,1.8887181222438811,2.240157759189605,2.679318904876709,3200
1,r3_hybrid_energy,heldout_dense,nominal,0.9436170205200324,1.398984920978546,1.5247129917144773,1.792999309301376,2.17505145072937,3200
1,r3_hybrid_energy,trained,functional,1.0252268996018756,1.6911366939544676,1.882206743955612,2.2007980489730805,3.164600372314453,2560
1,r3_hybrid_energy,trained,nominal,0.9592550723995373,1.4032114386558532,1.5128013253211974,1.7629150927066797,2.3319358825683594,2560
2,r0_mlp,heldout_dense,functional,0.16466861128971602,0.2940551549196243,0.3123266026377678,0.3343678030371665,0.3605669438838959,3200
2,r0_mlp,heldout_dense,nominal,0.15326767764170654,0.22083548158407212,0.23539466857910155,0.2576135498285293,0.2751368284225464,3200
2,r0_mlp,trained,functional,0.16411251329090387,0.29683015942573543,0.3149180874228476,0.33998863518238065,0.3655172884464264,2560
2,r0_mlp,trained,nominal,0.15281493254369707,0.22267221808433532,0.2364876598119735,0.2627869874238968,0.2754513919353485,2560
2,r1_linear,heldout_dense,functional,0.10044910074563124,0.16443130522966384,0.17809872403740878,0.19874125510454146,0.21147200465202332,3200
2,r1_linear,heldout_dense,nominal,0.11159582852153108,0.1406418368220329,0.14684717804193495,0.1600255799293517,0.1694680005311966,3200
2,r1_linear,trained,functional,0.10098492350038898,0.16239203065633773,0.17591109052300452,0.1997954080998896,0.21267566084861755,2560
2,r1_linear,trained,nominal,0.11224188569030957,0.1412404641509056,0.14632901102304458,0.15849578887224192,0.17084430158138275,2560
2,r2_prototype_energy,heldout_dense,functional,0.9415260172820757,1.5119478464126586,1.636443322896957,1.834853881597518,2.150416374206543,3200
2,r2_prototype_energy,heldout_dense,nominal,0.8296181535208598,1.1583194613456727,1.2362737596034998,1.3880355143547045,1.5850553512573242,3200
2,r2_prototype_energy,trained,functional,0.95266736185309,1.5282168507575988,1.6670365929603574,1.8907396566867818,2.1411430835723877,2560
2,r2_prototype_energy,trained,nominal,0.8344704642455326,1.16047260761261,1.2440895557403564,1.3965350139141077,1.5839415788650513,2560
2,r3_hybrid_energy,heldout_dense,functional,1.0180222489198716,1.7558774113655091,1.9233622848987573,2.2187644100189208,2.6345441341400146,3200
2,r3_hybrid_energy,heldout_dense,nominal,0.9348759404011071,1.3824934005737304,1.5015206217765809,1.667389366626739,1.891587495803833,3200
2,r3_hybrid_energy,trained,functional,1.017334583817592,1.7424327254295349,1.888841795921325,2.244064171314238,2.8186287879943848,2560
2,r3_hybrid_energy,trained,nominal,0.9362890206481097,1.3824616551399231,1.4850529611110688,1.6943871593475326,2.003965139389038,2560
3,r0_mlp,heldout_dense,functional,0.19782106885630527,0.35915445685386654,0.3873617857694625,0.4237655839323997,0.46221816539764404,3200
3,r0_mlp,heldout_dense,nominal,0.17442956156795844,0.27604850232601164,0.2921917766332626,0.3153777745366096,0.346294641494751,3200
3,r0_mlp,trained,functional,0.1985376383323815,0.36312808394432067,0.38740297704935056,0.4180856615304946,0.4653394818305969,2560
3,r0_mlp,trained,nominal,0.175733777752248,0.27708052694797514,0.2932410851120949,0.31646746218204497,0.34572309255599976,2560
3,r1_linear,heldout_dense,functional,0.16019017399037716,0.31962735652923585,0.34350848197937006,0.37058359652757644,0.3795524537563324,3200
3,r1_linear,heldout_dense,nominal,0.1491666004252329,0.24555495530366897,0.2624247252941131,0.2798431676626205,0.2884654700756073,3200
3,r1_linear,trained,functional,0.1580569942281827,0.32210107445716857,0.34318034201860426,0.3691770315170288,0.37983274459838867,2560
3,r1_linear,trained,nominal,0.1488039082418254,0.246951749920845,0.26158326268196097,0.2805472856760025,0.28637170791625977,2560
3,r2_prototype_energy,heldout_dense,functional,0.9435505475028912,1.4914358258247375,1.6355585157871244,1.8493826138973235,2.224266529083252,3200
3,r2_prototype_energy,heldout_dense,nominal,0.8238131876988336,1.1536388516426086,1.2285751223564143,1.344956270456314,1.5874284505844116,3200
3,r2_prototype_energy,trained,functional,0.9381042793215194,1.498266088962555,1.6417846918106078,1.8888680267333984,2.1635336875915527,2560
3,r2_prototype_energy,trained,nominal,0.8226268306956627,1.153568148612976,1.2305023491382596,1.3434495818614955,1.5259262323379517,2560
3,r3_hybrid_energy,heldout_dense,functional,1.038481088305125,1.738604474067688,1.8836698114871977,2.1588416171073903,2.5375313758850098,3200
3,r3_hybrid_energy,heldout_dense,nominal,0.9329487587977201,1.3510834217071532,1.4431508898735046,1.5902159643173217,1.8997714519500732,3200
3,r3_hybrid_energy,trained,functional,1.0241125237956452,1.7188149690628052,1.8886835455894453,2.216283237934112,2.565462827682495,2560
3,r3_hybrid_energy,trained,nominal,0.925472412025556,1.3495025515556334,1.4419994533061977,1.5965335118770594,1.8094754219055176,2560
4,r0_mlp,heldout_dense,functional,0.23365818333197425,0.39737064838409425,0.41346501410007475,0.43068616449832914,0.4459604322910309,3200
4,r0_mlp,heldout_dense,nominal,0.2028729735914385,0.27982273399829866,0.28617869317531586,0.29600047856569284,0.30466923117637634,3200
4,r0_mlp,trained,functional,0.2376954031224759,0.4014199912548065,0.41524210572242737,0.4307625046372413,0.44791215658187866,2560
4,r0_mlp,trained,nominal,0.2059334257774026,0.27970055639743807,0.28607921600341796,0.29427790254354474,0.308834046125412,2560
4,r1_linear,heldout_dense,functional,0.10242342724886701,0.17593894004821775,0.1956768706440925,0.23185190871357877,0.27570000290870667,3200
4,r1_linear,heldout_dense,nominal,0.1210827225795947,0.1654467687010765,0.17783699482679366,0.1931983356177807,0.20807768404483795,3200
4,r1_linear,trained,functional,0.10504675556967857,0.1777625173330307,0.19943602085113527,0.2372042427957057,0.27324530482292175,2560
4,r1_linear,trained,nominal,0.12331039905475336,0.16755700260400772,0.1791080273687838,0.19404650256037706,0.2042425572872162,2560
4,r2_prototype_energy,heldout_dense,functional,1.0337963785288766,1.6831770062446594,1.8961657404899597,2.139149420261383,2.730120897293091,3200
4,r2_prototype_energy,heldout_dense,nominal,0.8808139310288243,1.2253607273101808,1.3120539188385008,1.5846018052101105,2.078477144241333,3200
4,r2_prototype_energy,trained,functional,1.0195108216300592,1.6552921772003173,1.8746373057365406,2.202383835315703,2.7426726818084717,2560
4,r2_prototype_energy,trained,nominal,0.8745034713130735,1.2309593677520752,1.3303584694862365,1.5921384453773497,2.152829647064209,2560
4,r3_hybrid_energy,heldout_dense,functional,1.07483517334083,1.7760775446891786,2.003887498378752,2.368504638671873,3.138392925262451,3200
4,r3_hybrid_energy,heldout_dense,nominal,0.9852574813220417,1.4434751391410827,1.5740053951740258,1.7905473268032073,2.368596315383911,3200
4,r3_hybrid_energy,trained,functional,1.0528585834542024,1.7617419004440305,2.0021433234214783,2.3486965608596755,3.0022647380828857,2560
4,r3_hybrid_energy,trained,nominal,0.971792793997156,1.4255643844604489,1.5601372420787807,1.8066309750080096,2.2383711338043213,2560
